# Material Properties File
# Version 1.0
# 
#
NMATERIALS 11
# 	id	Name		corrLen     Roughness   Rs          Rm		Specular	Diffuse	Shinyness	R 	G 	B 
	00 	Material 	0.05		0.0			0.0			9.0e9	0.7			0.3		50.0		255	255	255       
	01	ASPHALT     0.5			0.05       	1.0e18     	9.0e9   0.8			0.2		30.0        128	128	128
    02	BRICK       0.1			0.001      	1.0e18     	9.0e9   0.7        	0.3		20.0        224	224	224	
    03	CONCRETE    0.2			0.01       	120.0      	9.0e9   0.3        	0.7     10.0        176	19	35
    04	METAL       0.6			0.0        	1.0e-8     	9.0e9   1.0        	0.0     50.0        176	94	41
    05	ROOFING     0.1			0.1        	1.0e18     	9.0e9   0.6        	0.4     40.0        214	186	062
    06	VEGETATION  0.1			0.1        	2000.0     	9.0e9   0.2        	0.8     5.0         166	214	054
    07	WATER       0.01		0.1        	2.0e1      	9.0e9   1.0        	0.0     50.0        056	125	214
    08	WOOD        0.1			0.001      	1.0e14     	9.0e9   0.6        	0.4     10.0        137	046	014
    09	GRASS       0.05		0.1        	2000.0     	9.0e9   0.2        	0.8     5.0         100	214	050
    10	PLASTIC		0.05		0.0			1.0e20		9.0e9	0.7			0.3		40.0		200	0	0	    
